schema_ver,seq,epoch_utc,iso8601_local,raw_rtd_ohms,raw_temp_c,cal_temp_c,flags,node_id
1,2692,1766767530,2025-12-26T10:45:30.971-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2693,1766767532,2025-12-26T10:45:32.031-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2694,1766767533,2025-12-26T10:45:33.091-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2695,1766767534,2025-12-26T10:45:34.151-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2696,1766767535,2025-12-26T10:45:35.211-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2697,1766767536,2025-12-26T10:45:36.272-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2698,1766767537,2025-12-26T10:45:37.331-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2699,1766767538,2025-12-26T10:45:38.391-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2700,1766767539,2025-12-26T10:45:39.451-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2701,1766767540,2025-12-26T10:45:40.511-06:00,236.022,368.064,368.064,0x0003,98:A3:16:12:57:B0
1,2702,1766767541,2025-12-26T10:45:41.571-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2703,1766767542,2025-12-26T10:45:42.631-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
1,2704,1766767543,2025-12-26T10:45:43.691-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2705,1766767544,2025-12-26T10:45:44.751-06:00,236.022,368.064,368.064,0x0003,98:A3:16:12:57:B0
1,2706,1766767545,2025-12-26T10:45:45.811-06:00,236.049,368.139,368.139,0x0003,98:A3:16:12:57:B0
1,2707,1766767546,2025-12-26T10:45:46.871-06:00,236.022,368.064,368.064,0x0003,98:A3:16:12:57:B0
1,2708,1766767547,2025-12-26T10:45:47.931-06:00,236.035,368.101,368.101,0x0003,98:A3:16:12:57:B0
